model_id,table1_rows,table1_columns,horizon,hp_set,prediction_on,id,id2
153,Base specification,Escalation,6 months,B&S,train-cv,Repeat12,Fold2
154,Base specification,Escalation,6 months,B&S,train-cv,Repeat13,Fold1
155,Base specification,Escalation,6 months,B&S,train-cv,Repeat13,Fold2
156,Base specification,Escalation,6 months,B&S,train-cv,Repeat14,Fold1
157,Base specification,Escalation,6 months,B&S,train-cv,Repeat14,Fold2
158,Base specification,Escalation,6 months,B&S,train-cv,Repeat15,Fold1
159,Base specification,Escalation,6 months,B&S,train-cv,Repeat15,Fold2
160,Base specification,Escalation,6 months,B&S,train-cv,Repeat16,Fold1
161,Base specification,Escalation,6 months,B&S,train-cv,Repeat16,Fold2
162,Base specification,Escalation,6 months,B&S,train-cv,Repeat17,Fold1
163,Base specification,Escalation,6 months,B&S,train-cv,Repeat17,Fold2
164,Base specification,Escalation,6 months,B&S,train-cv,Repeat18,Fold1
165,Base specification,Escalation,6 months,B&S,train-cv,Repeat18,Fold2
166,Base specification,Escalation,6 months,B&S,train-cv,Repeat19,Fold1
167,Base specification,Escalation,6 months,B&S,train-cv,Repeat19,Fold2
168,Base specification,Escalation,6 months,B&S,train-cv,Repeat20,Fold1
169,Base specification,Escalation,6 months,B&S,train-cv,Repeat20,Fold2
170,Base specification,Escalation,6 months,B&S,train-cv,Repeat21,Fold1
171,Base specification,Escalation,6 months,B&S,train-cv,Repeat21,Fold2
172,Base specification,Escalation,6 months,B&S,test,NA,NA
173,Base specification,Escalation,6 months,Default,train-cv,Repeat01,Fold1
174,Base specification,Escalation,6 months,Default,train-cv,Repeat01,Fold2
175,Base specification,Escalation,6 months,Default,train-cv,Repeat02,Fold1
176,Base specification,Escalation,6 months,Default,train-cv,Repeat02,Fold2
177,Base specification,Escalation,6 months,Default,train-cv,Repeat03,Fold1
178,Base specification,Escalation,6 months,Default,train-cv,Repeat03,Fold2
179,Base specification,Escalation,6 months,Default,train-cv,Repeat04,Fold1
180,Base specification,Escalation,6 months,Default,train-cv,Repeat04,Fold2
181,Base specification,Escalation,6 months,Default,train-cv,Repeat05,Fold1
182,Base specification,Escalation,6 months,Default,train-cv,Repeat05,Fold2
183,Base specification,Escalation,6 months,Default,train-cv,Repeat06,Fold1
184,Base specification,Escalation,6 months,Default,train-cv,Repeat06,Fold2
185,Base specification,Escalation,6 months,Default,train-cv,Repeat07,Fold1
